City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,jamestown,42.097,-79.2353,25.29,37,20,10.29,US,1715196016
139,ar rutbah,33.0381,40.2848,20.52,28,0,2.78,IQ,1715196016
140,motygino,58.1831,94.7592,5.99,89,62,3.58,RU,1715196016
141,linqiong,30.4159,103.4609,16.9,79,62,0.48,CN,1715196017
142,saint-pierre,-21.3393,55.4781,24.82,61,0,5.66,RE,1715195905
143,francistown,-21.17,27.5079,17.92,34,1,3.93,BW,1715196017
144,georgetown,5.4112,100.3354,28.96,84,20,1.54,MY,1715196017
145,libenge,3.65,18.6333,25.29,88,100,3.54,CD,1715196017
146,utrik,11.2278,169.8474,26.85,78,100,9.41,MH,1715196017
147,rio grande,-32.035,-52.0986,25.06,85,100,8.11,BR,1715196017
148,west island,-12.1568,96.8225,26.99,83,75,4.63,CC,1715196018
149,san juan del sur,11.2529,-85.8705,35.12,55,75,0.0,NI,1715196018
150,slave lake,55.2834,-114.769,11.99,35,0,4.12,CA,1715196018
151,slavyanka,42.8633,131.3847,5.91,93,97,1.48,RU,1715196018
152,fort st. john,56.2499,-120.8529,12.94,35,40,9.77,CA,1715196019
153,lompoc,34.6391,-120.4579,25.47,62,0,5.66,US,1715195924
154,goroka,-6.0834,145.3873,17.59,99,100,0.76,PG,1715196019
155,cananeia,-25.0147,-47.9267,31.75,54,32,1.95,BR,1715195915
156,nizhniy odes,63.6445,54.856,0.05,94,100,7.32,RU,1715196019
157,maun,-19.9833,23.4167,22.65,31,0,3.66,BW,1715196019
158,vila franca do campo,37.7167,-25.4333,18.27,99,49,4.58,PT,1715196020
159,bodo,67.28,14.405,5.02,80,75,6.69,NO,1715196020
160,tirat karmel,32.7617,34.9719,22.05,75,0,4.76,IL,1715196020
161,tazovsky,67.4667,78.7,-14.27,98,69,3.13,RU,1715196020
162,lamu,-2.2717,40.902,26.24,85,100,7.2,KE,1715196020
163,kone,-21.0595,164.8658,17.07,91,0,1.69,NC,1715196020
164,tartagal,-22.5164,-63.8013,17.92,97,100,4.98,AR,1715196020
165,shakawe,-18.3667,21.85,22.34,35,0,0.76,BW,1715196021
166,vadso,70.0744,29.7487,-0.51,86,40,3.09,NO,1715196021
167,reggane,26.7158,0.1714,35.44,5,100,2.61,DZ,1715196021
168,pyhaselka,62.4333,29.9667,-0.34,61,76,1.93,FI,1715196021
169,zhigalovo,54.8097,105.1578,7.9,54,100,1.82,RU,1715196021
170,coahuayana de hidalgo,18.7,-103.6583,30.7,51,95,3.6,MX,1715196021
171,paracuru,-3.41,-39.0306,30.62,80,99,4.2,BR,1715196022
172,kharian,32.8149,73.8636,30.88,16,0,2.18,PK,1715196022
173,bykovo,55.6361,38.0803,1.42,84,75,12.96,RU,1715196022
174,cooper's town,26.8667,-77.5167,24.78,69,0,2.9,BS,1715196022
175,stanley,54.868,-1.6985,14.32,76,20,3.6,GB,1715196022
176,salym,60.0625,71.4789,5.94,77,100,4.27,RU,1715196022
177,al lagowa,11.4,29.1333,32.97,11,1,3.57,SD,1715196023
178,ust-nera,64.5667,143.2,1.26,82,100,0.19,RU,1715196023
179,guarapari,-20.6667,-40.4975,27.72,76,2,6.0,BR,1715196023
180,longmen,24.9597,118.0889,22.34,80,100,1.12,CN,1715196023
181,arkhangel'sk,64.5401,40.5433,-2.15,74,100,4.0,RU,1715195742
182,kill devil hills,36.0307,-75.676,33.0,54,0,3.6,US,1715196023
183,amos,48.5669,-78.1162,12.63,40,100,4.38,CA,1715195958
184,shilovo,54.3204,40.874,1.13,88,100,4.75,RU,1715196023
185,nuuk,64.1835,-51.7216,5.34,45,20,4.63,GL,1715196024
186,magadan,59.5667,150.8,-0.26,93,98,2.14,RU,1715196024
187,port saint john's,-31.6229,29.5448,21.94,76,69,1.8,ZA,1715196024
188,kruisfontein,-34.0033,24.7314,16.6,82,41,1.11,ZA,1715196024
189,karymskoye,51.6167,114.35,5.76,36,30,0.74,RU,1715196024
190,udachny,66.4167,112.4,-6.97,89,40,2.93,RU,1715196024
191,quellon,-43.1167,-73.6167,9.05,88,100,6.21,CL,1715196024
192,kuta,-8.7233,115.1723,26.97,88,40,5.81,ID,1715196024
193,chu,43.5983,73.7614,18.1,48,100,0.48,KZ,1715196025
194,port elizabeth,-33.918,25.5701,17.83,85,75,3.6,ZA,1715195749
195,acapulco de juarez,16.8634,-99.8901,28.9,70,40,3.6,MX,1715195902
196,fengxiang,47.5833,130.8333,9.08,72,100,7.62,CN,1715196025
197,zapopan,20.7167,-103.4,34.86,8,9,2.41,MX,1715195802
